DateTime;Hash Rate
2009-05-20 00:00:00;5965232,355555560
2009-05-21 00:00:00;4076242,109629630
2009-05-22 00:00:00;3032326,4474074100
2009-05-23 00:00:00;1590728,628148150
2009-05-24 00:00:00;4971026,962962960
2009-05-25 00:00:00;5418419,389629630
2009-05-26 00:00:00;6213783,703703700
2009-05-27 00:00:00;5915522,0859259300
2009-05-28 00:00:00;4722475,614814810
2009-05-29 00:00:00;5269288,5807407400
2009-05-30 00:00:00;5418419,389629630
2009-05-31 00:00:00;4772185,884444440
2009-06-01 00:00:00;3529429,143703700
2009-06-02 00:00:00;5517839,928888890
2009-06-03 00:00:00;3529429,143703700
2009-06-04 00:00:00;3280877,7955555600
2009-06-05 00:00:00;1491308,088888890
2009-06-06 00:00:00;1391887,5496296300
2009-06-07 00:00:00;795364,314074074
2009-06-08 00:00:00;4076242,109629630
2009-06-09 00:00:00;4523634,536296300
2009-06-10 00:00:00;4076242,109629630
2009-06-11 00:00:00;4424213,997037040
2009-06-12 00:00:00;4275083,188148150
2009-06-13 00:00:00;3877401,0311111100
2009-06-14 00:00:00;3579139,4133333300
2009-06-15 00:00:00;4175662,6488888900
2009-06-16 00:00:00;3529429,143703700
2009-06-17 00:00:00;3927111,300740740
2009-06-18 00:00:00;3976821,5703703700
2009-06-19 00:00:00;4324793,457777780
2009-06-20 00:00:00;3877401,0311111100
2009-06-21 00:00:00;4026531,84
2009-06-22 00:00:00;3777980,491851850
2009-06-23 00:00:00;3777980,491851850
2009-06-24 00:00:00;4722475,614814810
2009-06-25 00:00:00;3380298,334814820
2009-06-26 00:00:00;4473924,266666670
2009-06-27 00:00:00;4175662,6488888900
2009-06-28 00:00:00;2286672,4029629600
2009-06-29 00:00:00;4125952,3792592600
2009-06-30 00:00:00;4225372,918518520
2009-07-01 00:00:00;3678559,9525925900
2009-07-02 00:00:00;4125952,3792592600
2009-07-03 00:00:00;4076242,109629630
2009-07-04 00:00:00;4424213,997037040
2009-07-05 00:00:00;3927111,300740740
2009-07-06 00:00:00;4175662,6488888900
2009-07-07 00:00:00;3430008,6044444400
2009-07-08 00:00:00;3678559,9525925900
2009-07-09 00:00:00;4275083,188148150
2009-07-10 00:00:00;4026531,84
2009-07-11 00:00:00;4125952,3792592600
2009-07-12 00:00:00;3827690,7614814800
2009-07-13 00:00:00;3877401,0311111100
2009-07-14 00:00:00;3430008,6044444400
2009-07-15 00:00:00;2236962,1333333300
2009-07-16 00:00:00;3529429,143703700
2009-07-17 00:00:00;2336382,6725925900
2009-07-18 00:00:00;198841,0785185190
2009-07-19 00:00:00;3479718,8740740700
2009-07-20 00:00:00;3479718,8740740700
2009-07-21 00:00:00;4076242,109629630
2009-07-22 00:00:00;2982616,177777780
2009-07-23 00:00:00;3777980,491851850
2009-07-24 00:00:00;3628849,682962960
2009-07-25 00:00:00;1590728,628148150
2009-07-26 00:00:00;1043915,6622222200
2009-07-27 00:00:00;3678559,9525925900
2009-07-28 00:00:00;2038121,0548148100
2009-07-29 00:00:00;944495,122962963
2009-07-30 00:00:00;745654,0444444450
2009-07-31 00:00:00;845074,5837037040
2009-08-01 00:00:00;1391887,5496296300
2009-08-02 00:00:00;1143336,2014814800
2009-08-03 00:00:00;596523,2355555560
2009-08-04 00:00:00;4026531,84
2009-08-05 00:00:00;4324793,457777780
2009-08-06 00:00:00;4473924,266666670
2009-08-07 00:00:00;3976821,5703703700
2009-08-08 00:00:00;3976821,5703703700
2009-08-09 00:00:00;5020737,232592590
2009-08-10 00:00:00;3728270,222222220
2009-08-11 00:00:00;3479718,8740740700
2009-08-12 00:00:00;3131746,986666670
2009-08-13 00:00:00;4225372,918518520
2009-08-14 00:00:00;3131746,986666670
2009-08-15 00:00:00;1292467,0103703700
2009-08-16 00:00:00;944495,122962963
2009-08-17 00:00:00;845074,5837037040
2009-08-18 00:00:00;497102,6962962960
2009-08-19 00:00:00;894784,8533333330
2009-08-20 00:00:00;1093625,9318518500
2009-08-21 00:00:00;695943,7748148150
2009-08-22 00:00:00;347971,8874074070
2009-08-23 00:00:00;745654,0444444450
2009-08-24 00:00:00;745654,0444444450
2009-08-25 00:00:00;2485513,4814814800
2009-08-26 00:00:00;2386092,942222220
2009-08-27 00:00:00;1441597,8192592600
2009-08-28 00:00:00;3728270,222222220
2009-08-29 00:00:00;3877401,0311111100
2009-08-30 00:00:00;4821896,154074070
2009-08-31 00:00:00;4275083,188148150
2009-09-01 00:00:00;3877401,0311111100
2009-09-02 00:00:00;3280877,7955555600
2009-09-03 00:00:00;3032326,4474074100
2009-09-04 00:00:00;3181457,256296300
2009-09-05 00:00:00;3777980,491851850
2009-09-06 00:00:00;3380298,334814820
2009-09-07 00:00:00;3877401,0311111100
2009-09-08 00:00:00;3430008,6044444400
2009-09-09 00:00:00;2684354,56
2009-09-10 00:00:00;3330588,0651851900
2009-09-11 00:00:00;3330588,0651851900
2009-09-12 00:00:00;3430008,6044444400
2009-09-13 00:00:00;3728270,222222220
2009-09-14 00:00:00;3678559,9525925900
2009-09-15 00:00:00;2187251,8637037000
2009-09-16 00:00:00;3579139,4133333300
2009-09-17 00:00:00;4175662,6488888900
2009-09-18 00:00:00;3877401,0311111100
2009-09-19 00:00:00;3678559,9525925900
2009-09-20 00:00:00;3877401,0311111100
2009-09-21 00:00:00;3430008,6044444400
2009-09-22 00:00:00;1242756,7407407400
2009-09-23 00:00:00;1789569,7066666700
2009-09-24 00:00:00;4821896,154074070
2009-09-25 00:00:00;4523634,536296300
2009-09-26 00:00:00;4971026,962962960
2009-09-27 00:00:00;4324793,457777780
2009-09-28 00:00:00;4225372,918518520
2009-09-29 00:00:00;4374503,727407410
2009-09-30 00:00:00;4225372,918518520
2009-10-01 00:00:00;4076242,109629630
2009-10-02 00:00:00;3579139,4133333300
2009-10-03 00:00:00;2883195,638518520
2009-10-04 00:00:00;2634644,2903703700
2009-10-05 00:00:00;2734064,8296296300
2009-10-06 00:00:00;2137541,594074070
2009-10-07 00:00:00;2982616,177777780
